frec_r,frec_g,frec_b,distancia_real_cm,balon_presente,score_naranja_objetivo,etiqueta_naranja
111.8542348998908,96.17101359430494,103.53637888368974,74.47520282056685,0,0.298515318886446,0
203.13980558114656,115.18517220871853,73.83288771931522,23.780798347725817,1,0.4680464700389923,0
209.51992885938915,130.92636516094967,69.58476850634537,11.545984786292424,1,0.5063730045506939,1
128.52280013866002,91.80449631921935,120.24685186198286,114.07072232138665,1,0.3097481178164684,0
113.08525985102925,87.52069789741266,128.2520228456398,116.01331583664889,0,0.25205744270729935,0
129.50744993079698,93.2415829092835,117.07916903871273,97.77409238150949,1,0.32726098008949495,0
115.77760179066844,69.13306450577635,130.0031931012583,39.335197224111,0,0.258351867464672,0
208.36857373749254,113.33975407555542,61.644869191069766,15.32996522474053,1,0.5054172549175755,1
101.4116401349279,94.63960475420326,99.68446940971629,83.3710310754102,0,0.28317418349011275,0
191.9689934413796,112.32059289943525,89.30683780528234,55.05768927379375,1,0.42141234658424603,0
88.7637575038115,84.68226802252016,123.50837341191287,18.156435241994345,0,0.21604716861009401,0
102.741682460583,113.49505924502006,113.34676574694585,61.44052157290734,0,0.2846532998815204,0
102.94658462111457,112.81936519677484,73.2779179130151,7.989068449365334,0,0.3661704540182281,0
95.15293542223151,72.86257002659981,116.54407214216164,109.48116664113871,0,0.2702244313762183,0
83.2217748513284,98.0631529380651,127.13829794999069,34.018477865601966,0,0.22515357220443336,0
147.6560650597728,91.7434681329573,102.14301614117245,80.85258498506191,1,0.322970304376987,0
185.1894454293453,112.05321510689507,83.26191499984031,40.15848482637167,1,0.44544356613631925,0
162.6166999979013,100.70615859045829,100.57507708538634,64.32789045662605,1,0.3635316883109613,0
101.30242513590608,102.97992212755068,106.54205086709045,67.41839240382043,0,0.2759358153563785,0
204.78068468147268,134.61696279862593,76.51113502421366,25.443116840961135,1,0.455992212938675,0
99.50391366869464,83.16767394144229,128.18297479508976,116.47181682068879,0,0.22943939235416536,0
143.6511353213148,89.32858623315161,111.37788667172029,93.91540750988929,1,0.3198298129150228,0
142.44109700679485,89.53874581853304,118.93709982990971,112.98187722144594,1,0.3281640503036851,0
122.81161272596923,92.49726588514635,110.88678659230786,107.79997264960727,1,0.29147903191788765,0
83.34341564189461,98.99377630964239,124.81526788523608,73.35639754208587,0,0.22943307275779193,0
125.26412350605781,82.66823558987387,117.57283874565356,110.93741126268155,1,0.3346457378698614,0
216.92006854830302,132.29532364861848,71.06651635522302,14.265130238022662,1,0.4681468365667547,0
213.3884362665807,116.13940835531864,67.46200603734795,26.734012040620843,1,0.491785104005858,0
202.4582986496953,117.18157610321131,54.943326812720926,9.246365513622415,1,0.4756689555338839,0
189.19166181210997,119.41708652699948,77.11033228080764,41.738318368538664,1,0.45174305825950933,0
175.37204500910966,120.62784686736452,93.10590594259493,49.08656560397991,1,0.4224256704717236,0
100.32090612282985,86.112083640219,117.30650265525348,35.47648768577193,0,0.2725786686934761,0
157.71012089144978,84.05184149625958,98.1082519488835,100.1335510616238,1,0.38470791680324085,0
170.1567491257918,117.8736680843944,72.62641662457638,45.38338589645635,1,0.461096837531403,0
191.5395813555098,113.41074012204419,85.69247171280216,36.58840312373617,1,0.48076450078244093,0
167.9475906688261,110.3762313562844,82.73722375460873,66.95274564635682,1,0.45133945539976483,0
211.7302821852877,112.07636935497906,72.89087189331893,20.347210097072466,1,0.4770341617076486,0
139.90482375487667,84.76504290730932,100.17097430273552,97.0548497674686,1,0.3346497809934322,0
211.92450876032163,119.82592323776458,77.11625702729293,12.647874666853415,1,0.46920959219841124,0
118.13440758924233,86.1231665775541,108.90984853529568,118.47888464566,1,0.29324689991274133,0
